STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT09,WT11
USC00029464,"WITTMANN 1 SE, AZ US",1/1/1962,,,0,0,0,70,,68,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/2/1962,,,0,0,0,72,,69,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/3/1962,,,0,0,0,68,,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/4/1962,,,0,0,0,66,,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/5/1962,,,0,0,0,67,,62,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/6/1962,,,0,0,0,73,,70,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/7/1962,,,0,0,0,70,,67,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/8/1962,,,0,0,0,71,,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/9/1962,,,0,0,0,73,,66,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/10/1962,,,0,0,0,66,40,53,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/11/1962,,,0,0,0,53,24,40,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/12/1962,,,0,0,0,52,22,47,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/13/1962,,,0,0,0,45,32,42,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/14/1962,,,0.01,0,0,55,30,45,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/15/1962,,,0,0,0,60,24,58,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/16/1962,,,0,0,0,67,33,64,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/17/1962,,,0,0,0,62,42,59,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/18/1962,,,0,0,0,61,34,59,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/19/1962,,,0,0,0,64,36,60,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/20/1962,,,0,0,0,68,43,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/21/1962,,,0.51,0,0,65,40,46,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/22/1962,,,0,0,0,55,40,54,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/23/1962,,,0.19,0,0,61,42,60,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/24/1962,,,0.77,0,0,60,46,53,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/25/1962,,,0.24,0,0,53,44,45,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/26/1962,,,0.04,0,0,56,46,55,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/27/1962,,,0,0,0,69,37,67,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/28/1962,,,0,0,0,74,43,74,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/29/1962,,,0,0,0,77,45,75,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/30/1962,,,0,0,0,76,40,75,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",1/31/1962,,,0,0,0,75,47,74,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/1/1962,,,0,0,0,74,41,71,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/2/1962,,,0,0,0,75,42,69,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/3/1962,,,0,0,0,74,41,72,,,,,,,
